"synonym","ent_id"
QDA Miner Lite system,QDA Miner
QDA Miner software,QDA Miner
QDA Miner tool,QDA Miner
annotated each statement,qualitative coding
manually coding,qualitative coding
labeled the interview,qualitative coding
coding sheet,qualitative coding
axial coded,qualitative coding
label the statement,qualitative coding
labeled all statement,qualitative coding
coded the statement,qualitative coding
annotate all statement,qualitative coding
theoretical coding,qualitative coding
axial coding,qualitative coding
code all interview,qualitative coding
annotate each interview,qualitative coding
code the interview,qualitative coding
labeled all interview,qualitative coding
manual coding,qualitative coding
constant comparison,constant comparative analysis
qualitative protocol analysis,protocol analysis
quantitative algorithm,quantitative analysis
datamining,machine learning
deep neural network,deep learning
StyleGAN2,StyleGAN
long term short term memory,long short memory network
GPT2,generative pre-trained transformer 2
GPT 3,generative pre-trained transformer 3
DALL E 2,DALL-E 2
text to 3d model,text-to-3d model
See5,decision tree classification
clustering description,cluster analysis
k means clustering,k-means clustering
k means algorithm,k-means clustering
agglomerative clustering,agglomerative hierarchical clustering
self supervised methodology,self-supervised learning
self supervised method,self-supervised learning
face recognition system,facial recognition system
LDA description,latent dirichlet allocation
LDA investigation,latent dirichlet allocation
topic modeling study,topic model
sentiment mining,sentiment analysis
sentiment score,sentiment analysis
spatial association,spatial analysis
extreme value approach,extreme value analysis
feature transformation,data transformation
last observation data imputation,last observation carried forward data imputation
k nearest neighbour data imputation,k-nearest neighbour data imputation
structured probabilistic model,probabilistic graphical model
Bayesian decision network,Bayesian network
latent class model,latent class analysis
multi level structural equation model,multilevel structural equation modeling
stremo,SEM tool
structural equation model tool,SEM tool
structural equation modeling tool,SEM tool
LVPLS,PLS tool
PLS Graph,PLS tool
SmartPLS3,PLS tool
PLS GUI,PLS tool
G Power,statistical power analysis
power of statistical test,statistical power analysis
Bayesian inference,Bayesian analysis
stated preference investigation,conjoint analysis
discrete choice model,conjoint analysis
simalto analysis,Simultaneous Multi-Attribute Trade Off
ex post analyis,post analysis
ablation test,ablation analysis
ablation,ablation analysis
time series,time series analysis
GARCH modeling,generalized autoregressive conditional heteroskedasticity model
GARCH methodology,generalized autoregressive conditional heteroskedasticity model
GARCH description,generalized autoregressive conditional heteroskedasticity model
